Name,URL,TH_Description,EN_Description,metadata,Type,id
VINTAGE STUDIO Wide-Leg Denim Cargo Pants,https://drive.google.com/uc?export=download&id=1I1bEHheek3bDREzFur646aFWF5Wrn9OR,"กางเกงยีนส์ขากว้างดีเทลกระเป๋าด้านข้าง จาก VINTAGE STUDIO

กางเกงยีนส์ขายาวทรงขากว้าง ดีไซน์ร่วมสมัยที่ให้ความคล่องตัวและเท่แบบสตรีท มาพร้อมกระเป๋าด้านข้างสองข้าง เพิ่มความสะดวกในการใช้งาน ตัดเย็บจากผ้าเดนิมคุณภาพดี ใส่สบาย ทนทาน เหมาะสำหรับทุกกิจกรรมประจำวันหรือสไตล์ลำลอง

วัสดุ: ผ้าเดนิม (Cotton 100%) ทนทานและสวมใส่สบาย
สี: ยีนส์ฟ้า (Blue Denim)
ทรง: ขากว้าง (Wide-Leg Fit)
เอว: เอวปกติ มาพร้อมกระดุมและซิปหน้า
ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ / กระเป๋าเสริมแบบฝาปิดด้านข้าง
สไตล์: สตรีทลำลอง คลาสสิกและใส่ง่าย
เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือกิจกรรมกลางแจ้ง
คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และรีดด้วยไฟอ่อน","VINTAGE STUDIO Wide-Leg Denim Cargo Pants

Upgrade your casual wardrobe with these wide-leg denim cargo pants from VINTAGE STUDIO. Crafted from premium 100% cotton denim, these pants feature a roomy, relaxed silhouette for maximum comfort and movement. Functional flap cargo pockets on both sides and classic back pockets make them both stylish and practical—ideal for everyday wear, street style, or outdoor activities.

Material: 100% Cotton denim – durable and comfortable
Color: Blue denim
Fit: Wide-leg, relaxed fit
Waist: Regular waist with button and zip closure
Details: Two side cargo pockets / Two back pockets / Flap pockets on both sides
Style: Streetwear, classic, and easy to match
Ideal for: Everyday outings, city walks, or outdoor activities
Care Instructions: Machine wash cold, do not bleach, iron on low heat if needed

","{
  ""product_name"": ""VINTAGE STUDIO Wide-Leg Denim Cargo Pants"",
  ""brand"": ""VINTAGE STUDIO"",
  ""category"": ""Men's Clothing"",
  ""type"": ""Pants"",
  ""pants_type"": ""Cargo Pants"",
  ""style"": ""Streetwear"",
  ""color"": ""Blue denim"",
  ""material"": ""100% Cotton denim"",
  ""features"": {
    ""fit"": ""Wide-leg, relaxed fit"",
    ""leg_style"": ""Wide-leg"",
    ""waist"": ""Button and zip closure"",
    ""pockets"": {
      ""side"": 2,
      ""back"": 2
    },
    ""wrinkle_resistant"": false,
    ""lightweight"": false
  },
  ""ideal_for"": [
    ""Everyday outings"",
    ""City walks"",
    ""Outdoor activities""
  ],
  ""care_instructions"": [
    ""Machine wash cold"",
    ""Do not bleach"",
    ""Iron on low heat if needed""
  ],
  ""description"": ""Wide-leg denim cargo pants from VINTAGE STUDIO crafted from 100% cotton denim, featuring functional flap side pockets and classic back pockets for a practical and stylish streetwear look.""
}
",Pants,10
VINTAGE STUDIO Black Wide-Leg Denim Cargo Pants,https://drive.google.com/uc?export=download&id=1fr2LenKc1jrAvSy4EbSdHnFQm-6EjtW9,"กางเกงยีนส์ขากว้างกระเป๋าด้านข้าง สีดำ จาก VINTAGE STUDIO

กางเกงยีนส์ขายาวทรงขากว้าง ดีไซน์เท่สไตล์สตรีท มาพร้อมกระเป๋าด้านข้างแบบฝาปิดทั้งสองข้าง เพิ่มฟังก์ชันการใช้งานและความทันสมัย ผลิตจากผ้าเดนิมคุณภาพดี สีดำเข้ม ใส่ง่าย เข้ากับทุกลุค เหมาะสำหรับวันสบาย ๆ หรือกิจกรรมกลางแจ้ง

วัสดุ: ผ้าเดนิม (Cotton 100%) ให้ความทนทานและสวมใส่สบาย
สี: ดำ (Black Denim)
ทรง: ขากว้าง (Wide-Leg Fit)
เอว: เอวปกติ พร้อมกระดุมและซิปหน้า
ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ / กระเป๋าด้านข้างแบบฝาปิด
สไตล์: สตรีทลำลอง ทันสมัย
เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือทำกิจกรรมกลางแจ้ง
คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","VINTAGE STUDIO Black Wide-Leg Denim Cargo Pants

Add a modern streetwear edge to your look with these black wide-leg denim cargo pants from VINTAGE STUDIO. Made from durable 100% cotton denim, these pants offer a relaxed fit for comfort and easy movement. Flap cargo pockets on both sides and classic back pockets provide utility and style—ideal for casual days, city walks, or outdoor adventures.

Material: 100% Cotton denim – durable and comfortable
Color: Black denim
Fit: Wide-leg, relaxed fit
Waist: Regular waist with button and zip closure
Details: Two side cargo pockets / Two back pockets / Flap pockets on both sides
Style: Streetwear, modern, versatile
Ideal for: Casual outings, city walks, or outdoor activities
Care Instructions: Machine wash cold, do not bleach, iron on low heat if needed","{
  ""product_name"": ""VINTAGE STUDIO Black Wide-Leg Denim Cargo Pants"",
  ""brand"": ""VINTAGE STUDIO"",
  ""category"": ""Men's Clothing"",
  ""type"": ""Pants"",
  ""pants_type"": ""Cargo Pants"",
  ""style"": ""Streetwear"",
  ""color"": ""Black denim"",
  ""material"": ""100% Cotton denim"",
  ""features"": {
    ""fit"": ""Wide-leg, relaxed fit"",
    ""leg_style"": ""Wide-leg"",
    ""waist"": ""Button and zip closure"",
    ""pockets"": {
      ""side"": 2,
      ""back"": 2
    },
    ""wrinkle_resistant"": false,
    ""lightweight"": false
  },
  ""ideal_for"": [
    ""Casual outings"",
    ""City walks"",
    ""Outdoor activities""
  ],
  ""care_instructions"": [
    ""Machine wash cold"",
    ""Do not bleach"",
    ""Iron on low heat if needed""
  ],
  ""description"": ""Black wide-leg denim cargo pants from VINTAGE STUDIO, crafted from durable 100% cotton denim with functional flap side and back pockets, designed for comfort, utility, and a modern streetwear style.""
}",Pants,11
URBAN CLASSIC Relaxed Fit Denim Shorts – Dark Blue,https://drive.google.com/uc?export=download&id=1QB-ReE8ynuYpNTGPHCgGgXaWr_90Qc82,"กางเกงยีนส์ขาสั้นทรงหลวม สีฟ้าเข้ม สไตล์ลำลอง จาก URBAN CLASSIC

กางเกงยีนส์ขาสั้นที่ออกแบบมาเพื่อความสบายและสไตล์ที่ทันสมัย ด้วยโทนสีฟ้าเข้มที่สามารถจับคู่กับเสื้อได้หลากหลายสไตล์ ตัวกางเกงมีทรงหลวมและขากว้าง ช่วยเพิ่มความคล่องตัวขณะสวมใส่ และดีเทลกระเป๋าข้างและกระเป๋าหลังเพื่อการใช้งานที่สะดวก

วัสดุ: ผ้ายีนส์คุณภาพสูง ทนทานและระบายอากาศได้ดี

สี: ฟ้าเข้ม

ทรง: ทรงหลวม (Relaxed Fit) ขากว้าง

เอว: ปิดด้วยกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ

สไตล์: ลำลอง ทันสมัย ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือกิจกรรมกลางแจ้ง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรตากในที่ร่ม","URBAN CLASSIC Relaxed Fit Denim Shorts – Dark Blue

Step up your casual look with these relaxed-fit denim shorts from URBAN CLASSIC. Crafted for comfort and modern style, the dark blue color pairs effortlessly with various tops. Featuring a loose fit and wide legs, these shorts offer great mobility and include practical side and back pockets for convenience.

Material: High-quality denim – durable and breathable

Color: Dark blue

Fit: Relaxed fit with wide legs

Waist: Button and zip closure

Details: Two side pockets / Two back pockets

Style: Casual, modern, and everyday-friendly

Ideal for: Casual outings, city walks, or outdoor activities

Care Instructions: Machine wash cold. Do not bleach. Dry in the shade.","{""product_name"": ""URBAN CLASSIC Relaxed Fit Denim Shorts – Dark Blue"", ""brand"": ""URBAN CLASSIC"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Shorts"", ""style"": ""Casual"", ""color"": ""Dark Blue"", ""material"": ""High-quality denim"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Wide-leg"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 2, ""back"": 2}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Casual outings"", ""City walks"", ""Outdoor activities""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Dry in the shade""], ""description"": ""URBAN CLASSIC Relaxed Fit Denim Shorts in dark blue, offering comfort and style with a loose fit and practical pockets.""}",Pants,12
URBAN WEAR Casual Straight-Leg Denim Shorts – Dark Blue,https://drive.google.com/uc?export=download&id=1gD95LaN1BhtlNBrLl_EnstVKpLQJeH9a,"กางเกงยีนส์ขาสั้นทรงตรง สีฟ้าเข้ม สไตล์ลำลอง จาก URBAN WEAR

กางเกงยีนส์ขาสั้นที่ออกแบบมาเพื่อความสบายและความทนทาน ด้วยสีฟ้าเข้มที่มีการฟอกสีเพื่อเพิ่มลุคที่ทันสมัย สามารถจับคู่กับเสื้อยืดหรือเสื้อเชิ้ตได้อย่างง่ายดาย ตัวกางเกงมีทรงตรงและกระเป๋าห้าช่องเพื่อความสะดวกในการใช้งาน

วัสดุ: ผ้ายีนส์คอตตอน 100% ให้ความทนทานและสวมใส่สบาย

สี: ฟ้าเข้ม (Dark Blue)

ทรง: ทรงตรง (Straight Fit)

เอว: เอวปกติ พร้อมกระดุมและซิป

ดีเทล: กระเป๋าหน้า 3 ข้าง / กระเป๋าหลัง 2 ใบ

สไตล์: ลำลอง ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่เที่ยวในวันหยุด หรือกิจกรรมกลางแจ้ง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรตากในที่ร่ม","URBAN WEAR Casual Straight-Leg Denim Shorts – Dark Blue

Experience comfort and durability with these straight-leg denim shorts from URBAN WEAR. The dark blue color with a washed effect adds a modern touch, making it easy to pair with a t-shirt or a casual shirt. The shorts feature a straight fit and five pockets for practical use.

Material: 100% Cotton denim – durable and comfortable

Color: Dark Blue

Fit: Straight fit

Waist: Regular waist with button and zip closure

Details: Three front pockets / Two back pockets

Style: Casual, easy-to-wear everyday

Ideal for: Weekend outings or outdoor activities

Care Instructions: Machine wash cold. Do not bleach. Dry in the shade.","{""product_name"": ""URBAN WEAR Casual Straight-Leg Denim Shorts – Dark Blue"", ""brand"": ""URBAN WEAR"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Shorts"", ""style"": ""Casual"", ""color"": ""Dark Blue"", ""material"": ""100% Cotton denim"", ""features"": {""fit"": ""Straight fit"", ""leg_style"": ""Straight"", ""waist"": ""Regular waist with button and zip closure"", ""pockets"": {""side"": 3, ""back"": 2}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Weekend outings"", ""Outdoor activities""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Dry in the shade""], ""description"": ""URBAN WEAR Casual Straight-Leg Denim Shorts – Dark Blue. Comfortable and durable shorts with a modern washed effect, perfect for everyday casual wear.""}",Pants,13
URBAN STYLE Casual Light Blue Denim Shorts,https://drive.google.com/uc?export=download&id=1bE2xKeNmxPFk9ypLKo_MuPEf-Cr5yGea,"กางเกงยีนส์ขาสั้นทรงหลวม สีฟ้าอ่อน สไตล์ลำลอง จาก URBAN STYLE

กางเกงยีนส์ขาสั้นทรงหลวมที่ออกแบบมาเพื่อความสะดวกสบายและความทันสมัย ด้วยสีฟ้าอ่อนที่ให้ความรู้สึกสดชื่นและเหมาะกับทุกโอกาส ตัวกางเกงมีดีเทลการฟอกสีที่เพิ่มความมีสไตล์และกระเป๋าด้านหน้าสองข้างและกระเป๋าหลังสองใบเพื่อการใช้งานที่สะดวก

วัสดุ: ผ้าเดนิมคุณภาพสูง ให้ความทนทานและสวมใส่สบาย

สี: ฟ้าอ่อน

ทรง: ทรงหลวม (Relaxed Fit) ขาสั้น

เอว: เอวปกติ พร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ / การฟอกสีเพื่อความมีสไตล์

สไตล์: ลำลอง ทันสมัย เหมาะกับการแต่งตัวในชีวิตประจำวัน

เหมาะสำหรับ: ใส่เที่ยว เดินเล่น หรือกิจกรรมกลางแจ้ง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรตากในที่ร่ม","URBAN STYLE Casual Light Blue Denim Shorts

These relaxed-fit denim shorts from URBAN STYLE are designed for comfort and modern style. The light blue color offers a refreshing look suitable for any occasion. Featuring stylish wash details and practical front and back pockets, these shorts are perfect for everyday wear.

Material: High-quality denim for durability and comfort

Color: Light blue

Fit: Relaxed fit, short length

Waist: Regular waist with button and zip closure

Details: Two side pockets / Two back pockets / Stylish wash details

Style: Casual, modern, perfect for everyday wear

Ideal for: Casual outings, city walks, or outdoor activities

Care Instructions: Machine wash cold. Do not bleach. Dry in the shade.","{""product_name"": ""URBAN STYLE Casual Light Blue Denim Shorts"", ""brand"": ""URBAN STYLE"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Shorts"", ""style"": ""Casual"", ""color"": ""Light Blue"", ""material"": ""High-quality denim"", ""features"": {""fit"": ""Relaxed fit"", ""leg_style"": ""Short"", ""waist"": ""Regular waist with button and zip closure"", ""pockets"": {""side"": 2, ""back"": 2}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Casual outings"", ""City walks"", ""Outdoor activities""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Dry in the shade""], ""description"": ""URBAN STYLE Casual Light Blue Denim Shorts are designed for comfort and modern style, featuring stylish wash details and practical pockets.""}",Pants,14
Classic Straight-Leg Trousers – Olive Green,https://drive.google.com/uc?export=download&id=1QBIZM--f6UbabrXI9BBOP7nry9s0PCad,"กางเกงขายาวทรงตรง สีเขียวมะกอก สไตล์คลาสสิก

กางเกงขายาวทรงตรงที่ออกแบบมาเพื่อความเรียบง่ายและความสบายในการสวมใส่ ด้วยโทนสีเขียวมะกอกที่ให้ความรู้สึกสงบและคลาสสิก สามารถจับคู่กับเสื้อได้หลากหลายสไตล์ ทั้งแบบทางการและลำลอง ตัวกางเกงมีดีเทลกระดุมด้านหน้าและกระเป๋าข้างเพื่อการใช้งานที่สะดวก

วัสดุ: ผ้าโพลีเอสเตอร์ผสม ให้สัมผัสเบาและไม่ยับง่าย

สี: เขียวมะกอก

ทรง: ทรงตรง

เอว: เอวปกติพร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 1 ใบ

สไตล์: คลาสสิก เรียบง่าย ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่ทำงาน เดินเล่น หรือสไตล์ Smart Casual

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","Classic Straight-Leg Trousers – Olive Green

These straight-leg trousers are designed for simplicity and comfort, featuring a calming and classic olive green color. They pair effortlessly with a variety of tops, suitable for both formal and casual settings. The trousers include front button details and practical side pockets for convenience.

Material: Polyester blend – lightweight and wrinkle-resistant

Color: Olive green

Fit: Straight fit

Waist: Regular waist with button and zip closure

Details: Two side pockets / One back pocket

Style: Classic, simple, and everyday-friendly

Ideal for: Office wear, city walks, or smart casual looks

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""Classic Straight-Leg Trousers – Olive Green"", ""brand"": ""Generic"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Trousers"", ""style"": ""Classic"", ""color"": ""Olive Green"", ""material"": ""Polyester blend"", ""features"": {""fit"": ""Straight fit"", ""leg_style"": ""Straight"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 2, ""back"": 1}, ""wrinkle_resistant"": true, ""lightweight"": true}, ""ideal_for"": [""Office wear"", ""City walks"", ""Smart casual occasions""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""Classic straight-leg trousers in olive green, ideal for both formal and casual settings.""}",Pants,15
URBAN CHIC Classic Straight-Leg Trousers – Beige,https://drive.google.com/uc?export=download&id=1TvEzCveXhTqQ3C2TDD-ENXxceWma8VqN,"กางเกงขายาวทรงกระบอก สีเบจ สไตล์คลาสสิก จาก URBAN CHIC

กางเกงขายาวทรงกระบอกที่ออกแบบมาเพื่อความสบายและความเรียบหรู ด้วยโทนสีเบจที่เรียบง่ายและมีสไตล์ สามารถจับคู่กับเสื้อได้หลากหลายรูปแบบ เหมาะสำหรับใส่ในโอกาสทางการและลำลอง ตัวกางเกงมีดีเทลจีบด้านหน้าและกระเป๋าข้าง เพิ่มความสะดวกในการใช้งาน

วัสดุ: ผ้าฝ้ายผสมโพลีเอสเตอร์ ให้สัมผัสนุ่มและระบายอากาศได้ดี

สี: เบจ

ทรง: ทรงกระบอก (Straight Fit)

เอว: เอวปกติพร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 1 ใบ / จีบด้านหน้า

สไตล์: คลาสสิก เรียบหรู

เหมาะสำหรับ: ใส่ทำงาน ประชุม หรือออกงานสังคม

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","URBAN CHIC Classic Straight-Leg Trousers – Beige

Enhance your wardrobe with these classic straight-leg trousers from URBAN CHIC. Designed with a simple yet stylish beige tone, these trousers are versatile enough to pair with various tops, suitable for both formal and casual occasions. Featuring front pleats and side pockets, they offer both style and practicality.

Material: Cotton-polyester blend – soft and breathable

Color: Beige

Fit: Straight fit

Waist: Regular waist with button and zip closure

Details: Two side pockets / One back pocket / Front pleats

Style: Classic, elegant

Ideal for: Office wear, meetings, or social events

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""URBAN CHIC Classic Straight-Leg Trousers – Beige"", ""brand"": ""URBAN CHIC"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Trousers"", ""style"": ""Classic"", ""color"": ""Beige"", ""material"": ""Cotton-polyester blend"", ""features"": {""fit"": ""Straight fit"", ""leg_style"": ""Straight"", ""waist"": ""Button and zip closure"", ""pockets"": {""side"": 2, ""back"": 1}, ""wrinkle_resistant"": false, ""lightweight"": true}, ""ideal_for"": [""Office wear"", ""Meetings"", ""Social events""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""Classic straight-leg trousers in beige with front pleats and side pockets, ideal for formal and casual occasions.""}",Pants,16
Classic Straight-Leg Trousers – Navy,https://drive.google.com/uc?export=download&id=1jaPIOigOCXxSGAIX3HYNlkS87acZy__h,"กางเกงขายาวทรงตรง สีกรมท่า สไตล์คลาสสิก

กางเกงขายาวทรงตรงที่ออกแบบมาเพื่อความเรียบหรูและความสบายในการสวมใส่ ด้วยโทนสีกรมท่าที่ดูดีและสามารถจับคู่กับเสื้อได้หลากหลายสไตล์ เหมาะสำหรับการสวมใส่ในโอกาสทางการและลำลอง ตัวกางเกงมีดีเทลกระดุมด้านหน้าเพิ่มความโดดเด่น

วัสดุ: ผ้าวูลผสมโพลีเอสเตอร์ ให้สัมผัสนุ่มและคงทน

สี: กรมท่า

ทรง: ทรงตรง (Straight Fit)

เอว: เอวปกติ พร้อมกระดุมด้านหน้า

ดีเทล: กระดุมด้านหน้า 2 เม็ด / กระเป๋าข้าง 2 ข้าง

สไตล์: คลาสสิก เรียบง่าย

เหมาะสำหรับ: ใส่ทำงาน ประชุม หรือโอกาสทางการ

คำแนะนำในการดูแล: ซักแห้งเท่านั้น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","Classic Straight-Leg Trousers – Navy

These straight-leg trousers are designed for elegance and comfort, featuring a versatile navy color that pairs well with various styles. Ideal for both formal and casual occasions, the trousers have front button details that add a touch of sophistication.

Material: Wool-polyester blend – soft and durable

Color: Navy

Fit: Straight fit

Waist: Regular waist with front buttons

Details: Two front buttons / Two side pockets

Style: Classic, simple

Ideal for: Office wear, meetings, or formal occasions

Care Instructions: Dry clean only. Do not bleach. Iron on low heat.","{""product_name"": ""Classic Straight-Leg Trousers – Navy"", ""brand"": ""Unknown"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Trousers"", ""style"": ""Classic"", ""color"": ""Navy"", ""material"": ""Wool-polyester blend"", ""features"": {""fit"": ""Straight fit"", ""leg_style"": ""Straight"", ""waist"": ""Regular waist with front buttons"", ""pockets"": {""side"": 2, ""back"": 0}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Office wear"", ""Meetings"", ""Formal occasions""], ""care_instructions"": [""Dry clean only"", ""Do not bleach"", ""Iron on low heat""], ""description"": ""Classic straight-leg trousers in navy, ideal for formal and casual occasions with front button details.""}",Pants,17
VINTAGE STUDIO Minimalist Straight-Leg Trousers – Black,https://drive.google.com/uc?export=download&id=1JizJ3eu0pFASl17ALeVJYaqqnW5W1L0N,"กางเกงขายาวทรงตรง สีดำ สไตล์มินิมอล จาก VINTAGE STUDIO

กางเกงขายาวทรงตรงผลิตจากผ้าโพลีเอสเตอร์ผสมคุณภาพดี ให้สัมผัสเรียบเนียน น้ำหนักเบาและไม่ยับง่าย โดดเด่นด้วยดีเทลกระดุมคู่ด้านหน้า เสริมลุคสุภาพและทันสมัย มาพร้อมกระเป๋าข้างและกระเป๋าหลัง ใส่ง่ายแมทช์กับเสื้อผ้าได้หลากหลาย เหมาะกับวันทำงานหรือโอกาสกึ่งทางการ

วัสดุ: ผ้าโพลีเอสเตอร์ผสม (Polyester Blend) น้ำหนักเบาและไม่ยับง่าย
สี: ดำ (Black)
ทรง: ทรงตรง (Straight Fit)
เอว: เอวปกติ พร้อมกระดุมและซิปหน้า
ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ / กระดุมคู่ด้านหน้า
สไตล์: มินิมอล สุภาพ กึ่งทางการ
เหมาะสำหรับ: ใส่ทำงาน ออกงาน หรือสไตล์ Smart Casual
คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","VINTAGE STUDIO Minimalist Straight-Leg Trousers – Black

Refine your smart-casual wardrobe with these minimalist straight-leg trousers from VINTAGE STUDIO. Crafted from a high-quality polyester blend, these pants are lightweight and wrinkle-resistant, featuring a stylish double-button front detail. With practical side and back pockets, they offer both function and elegance—ideal for workdays or semi-formal occasions.

Material: Polyester blend – lightweight and wrinkle-resistant
Color: Black
Fit: Straight fit
Waist: Regular waist with double button and zip closure
Details: Two side pockets / Two back pockets / Double-button front detail
Style: Minimalist, smart, semi-formal
Ideal for: Office wear, events, or smart casual looks
Care Instructions: Machine wash cold, do not bleach, iron on low heat if necessary","{
  ""product_name"": ""VINTAGE STUDIO Minimalist Straight-Leg Trousers – Black"",
  ""brand"": ""VINTAGE STUDIO"",
  ""category"": ""Men's Clothing"",
  ""type"": ""Pants"",
  ""pants_type"": ""Trousers"",
  ""style"": ""Minimalist / Smart Casual"",
  ""color"": ""Black"",
  ""material"": ""Polyester blend"",
  ""features"": {
    ""fit"": ""Straight fit"",
    ""leg_style"": ""Straight"",
    ""waist"": ""Double button and zip closure"",
    ""pockets"": {
      ""side"": 2,
      ""back"": 2
    },
    ""wrinkle_resistant"": true,
    ""lightweight"": true
  },
  ""ideal_for"": [
    ""Office wear"",
    ""Events"",
    ""Smart casual looks""
  ],
  ""care_instructions"": [
    ""Machine wash cold"",
    ""Do not bleach"",
    ""Iron on low heat if necessary""
  ],
  ""description"": ""Minimalist straight-leg trousers from VINTAGE STUDIO crafted from a lightweight, wrinkle-resistant polyester blend. Features a double-button front, side and back pockets—ideal for work or smart casual occasions.""
}",Pants,18
URBAN EDGE Classic Straight-Leg White Jeans,https://drive.google.com/uc?export=download&id=1QYe2tjKotThNPyXeoH-jrJ4VzZVOurna,"กางเกงยีนส์ทรงตรง สีขาว สไตล์คลาสสิก จาก URBAN EDGE

กางเกงยีนส์สีขาวที่ออกแบบมาเพื่อความเรียบง่ายและสไตล์ที่ไม่เคยล้าสมัย ด้วยทรงตรงที่ให้ความสบายและพอดีตัว สามารถจับคู่กับเสื้อได้หลากหลายสไตล์ ไม่ว่าจะเป็นลุคทางการหรือลำลอง ตัวกางเกงมีดีเทลกระเป๋าข้างและกระเป๋าหลังเพื่อการใช้งานที่สะดวก

วัสดุ: ผ้าเดนิมคุณภาพสูง ให้สัมผัสนุ่มและทนทาน

สี: ขาว

ทรง: ทรงตรง (Straight Fit)

เอว: เอวปกติ พร้อมกระดุมและซิป

ดีเทล: กระเป๋าข้าง 2 ข้าง / กระเป๋าหลัง 2 ใบ

สไตล์: คลาสสิก เรียบง่าย ใส่ง่ายทุกวัน

เหมาะสำหรับ: ใส่ทำงาน เดินเล่น หรือโอกาสลำลอง

คำแนะนำในการดูแล: ซักเครื่องในน้ำเย็น หลีกเลี่ยงการใช้สารฟอกขาว และควรรีดด้วยไฟอ่อน","URBAN EDGE Classic Straight-Leg White Jeans

Enhance your wardrobe with these classic white jeans from URBAN EDGE. Designed with a timeless straight fit, these jeans offer comfort and style that never goes out of fashion. Perfectly versatile, they can be paired with various tops for both formal and casual looks. The jeans feature practical side and back pockets for convenience.

Material: High-quality denim – soft and durable

Color: White

Fit: Straight fit

Waist: Regular waist with button and zip closure

Details: Two side pockets / Two back pockets

Style: Classic, simple, and everyday-friendly

Ideal for: Office wear, city walks, or casual occasions

Care Instructions: Machine wash cold. Do not bleach. Iron on low heat if necessary.","{""product_name"": ""URBAN EDGE Classic Straight-Leg White Jeans"", ""brand"": ""URBAN EDGE"", ""category"": ""Men's Clothing"", ""type"": ""Pants"", ""pants_type"": ""Jeans"", ""style"": ""Classic"", ""color"": ""White"", ""material"": ""High-quality denim"", ""features"": {""fit"": ""Straight fit"", ""leg_style"": ""Straight"", ""waist"": ""Regular waist with button and zip closure"", ""pockets"": {""side"": 2, ""back"": 2}, ""wrinkle_resistant"": false, ""lightweight"": false}, ""ideal_for"": [""Office wear"", ""City walks"", ""Casual occasions""], ""care_instructions"": [""Machine wash cold"", ""Do not bleach"", ""Iron on low heat if necessary""], ""description"": ""Classic white jeans with a straight fit, offering comfort and timeless style. Features practical side and back pockets.""}",Pants,19
